month,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable
1,37122,13335,0.35922094714724423,0.3543551208615326,0.36411590768479407,35.92209471472442,35.43551208615326,36.41159076847941,True
2,34080,12284,0.36044600938967136,0.35536441047892037,0.3655590666446207,36.044600938967136,35.53644104789203,36.55590666446207,True
3,40198,15281,0.38014329071098063,0.3754095531476071,0.38489993476401124,38.01432907109806,37.54095531476071,38.489993476401125,True
4,39161,15152,0.38691555373969,0.38210297944177785,0.3917503124862558,38.691555373969,38.21029794417778,39.17503124862558,True
5,44581,17931,0.4022117045378076,0.39766852858190654,0.40677173211871676,40.22117045378076,39.76685285819065,40.677173211871676,True
6,43730,17726,0.40535101760804937,0.40075788974328397,0.4099607734898129,40.535101760804935,40.0757889743284,40.99607734898129,True
7,42037,17498,0.41625234912101244,0.41154793037016796,0.4209720732255737,41.62523491210124,41.154793037016795,42.09720732255737,True
8,41446,17397,0.41975100130290016,0.41500729436864964,0.424509583302603,41.975100130290016,41.500729436864965,42.4509583302603,True
9,42454,17868,0.42087906911009565,0.416190089304962,0.42558236669289556,42.08790691100957,41.6190089304962,42.558236669289556,True
10,43215,18153,0.4200624783061437,0.41541621393753925,0.42472295351298295,42.00624783061437,41.54162139375393,42.47229535129829,True
11,39933,16489,0.4129166353642351,0.40809608169704875,0.4177539424570897,41.29166353642351,40.80960816970487,41.775394245708966,True
12,39957,16161,0.40445979427884976,0.3996568997031894,0.40928105820007965,40.44597942788498,39.96568997031894,40.928105820007964,True
