contributing_factor_vehicle_1,crashes,share_of_all_crashes_pct
Unspecified (recorded but not classified),120386,24.673610513328168
Driver Inattention/Distraction,119497,24.49140627241686
Failure to Yield Right-of-Way,33447,6.8551015137913645
Following Too Closely,30254,6.200682907233652
Passing or Lane Usage Improper,21056,4.315514619379645
Unsafe Speed,17541,3.595100775956418
Passing Too Closely,17206,3.5264411351180738
Backing Unsafely,14897,3.053201998712888
Other Vehicular,14753,3.0236886008599875
Traffic Control Disregarded,13683,2.804387658480798
Turning Improperly,11165,2.2883131043585547
Driver Inexperience,10108,2.0716765659521967
Unsafe Lane Changing,10004,2.0503613341695464
Alcohol Involvement,8681,1.779206991396025
Reaction to Uninvolved Vehicle,5916,1.2125087617899875
