vehicle_type_code1,crashes,share_of_all_crashes_pct
Sedan,225134,46.14214800149207
Station Wagon/Sport Utility Vehicle,168392,34.512639522538805
Taxi,13214,2.708264161307116
Pick-up Truck,10965,2.2473222740073044
Bus,8872,1.8183532343814688
Bike,8539,1.7501035018466369
Box Truck,7919,1.6230319277577607
Not recorded,7356,1.5076427403189907
Motorcycle,4624,0.9477079977209097
E-Bike,3934,0.8062896330090958
Tractor Truck Diesel,3433,0.7036076029792135
Van,2904,0.5951868567001561
Ambulance,2825,0.5789954787114123
Moped,2734,0.5603446509015934
E-Scooter,2306,0.4726242739499174
